供应商名称,暂估_合计_万,暂估_合计_元,预付_合计_万,预付_合计_元,差异_元,差异_万,差异率
CFM International,396.36973691,3963697.3691,114053.526002236,1140535260.02236,-1136571562.65326,-113657.156265326,-99.65
中国航空油料有限责任公司,53419.5150920001,534195150.920001,79397.781782,793977817.82,-259782666.89999908,-25978.26668999991,-32.72
上海浦东国际机场航空油料有限责任公司,13843.737792,138437377.92,21875.211419,218752114.19,-80314736.27000001,-8031.473627000001,-36.71
华南蓝天航空油料（广东）有限公司,5082.427652,50824276.52,9226.592835,92265928.35,-41441651.82999999,-4144.165182999999,-44.92
中航油新疆航空油料有限公司,4010.847443,40108474.43,7064.731738,70647317.38,-30538842.949999996,-3053.8842949999994,-43.23
华南蓝天航空油料有限公司,3889.202843,38892028.43,6882.911262,68829112.62,-29937084.190000005,-2993.7084190000005,-43.49
深圳承远航空油料有限公司,2433.743404,24337434.04,4292.334625,42923346.25,-18585912.21,-1858.5912210000001,-43.3
ENEOS CORPORATION,823.4044126728,8234044.126728,2421.2153188364,24212153.188364,-15978109.061635999,-1597.8109061635998,-65.99
SAFRAN NACELLES,2285.201250304,22852012.50304,1915.9654076756,19159654.076756,3692358.4262840003,369.2358426284,19.27
南京空港油料有限公司,939.056137,9390561.37,1600.436326,16004363.26,-6613801.890000001,-661.3801890000001,-41.32
中航油(北京)机场航空油料有限责任公司,622.192876,6221928.76,1144.99684,11449968.4,-5228039.640000001,-522.8039640000001,-45.66
CHINA NATIONAL AVIATION FUEL (CAMBODIA) CO LTD,198.083947404,1980839.47404,1006.0776947058,10060776.947058,-8079937.473018,-807.9937473018,-80.31
中航油青岛国际机场航空油料有限责任公司,533.754729,5337547.29,1002.583318,10025833.18,-4688285.89,-468.82858899999997,-46.76
AIRBUS SAS SPARES,673.0545318722,6730545.318722,657.955763212,6579557.63212,150987.68660200015,15.098768660200015,2.29
"Cosmo Oil Marketing Co., Ltd.",296.3004703848,2963004.703848,643.0435187508,6430435.187508,-3467430.48366,-346.743048366,-53.92
泉州空港油料有限公司,278.736156,2787361.56,635.638808,6356388.08,-3569026.52,-356.902652,-56.15
海南太平洋石油实业股份有限公司,349.16051,3491605.1,531.72108,5317210.8,-1825605.6999999997,-182.56056999999998,-34.33
海南美亚实业有限公司,52.952968,529529.68,128.915961,1289159.61,-759629.93,-75.96299300000001,-58.92
三亚凤凰国际机场有限责任公司,84.9810238867925,849810.238867925,68.118992,681189.92,168620.31886792497,16.862031886792497,24.75
飞天联合（北京）系统技术有限公司,1.72,17200.0,50.85,508500.0,-491300.0,-49.13,-96.62
"West Coast Industries, Inc.",41.28706648,412870.6648,40.83013044,408301.3044,4569.360400000005,0.4569360400000005,1.12
河北机场管理集团有限公司石家庄国际机场分公司,1238.819038,12388190.38,28.240101,282401.01,12105789.370000001,1210.578937,4286.74
"Associated Energy Group,LLC",24.9363132144,249363.132144,23.2578563856,232578.563856,16784.56828800001,1.678456828800001,7.22
深圳市机场股份有限公司,922.220439,9222204.39,17.105,171050.0,9051154.39,905.115439,5291.53
MEMORY GUEST HOUSE,62.6200307704,626200.307704,12.6295148577,126295.148577,499905.159127,49.990515912700005,395.82
SUD OUEST AFFUTAGE,12.079851875,120798.51875,11.2525472475,112525.472475,8273.046275,0.8273046275000001,7.35
Leki Aviation Pte. Ltd.,20.632011,206320.11,8.0059608,80059.608,126260.502,12.6260502,157.71
广州白云国际机场股份有限公司,899.068267,8990682.67,6.648012,66480.12,8924202.55,892.4202550000001,13423.87
浙江祺翀杯业有限公司,15.92920354,159292.0354,5.4,54000.0,105292.0354,10.52920354,194.99
昆明长水国际机场有限责任公司,209.375097,2093750.97,2.7606,27606.0,2066144.97,206.614497,7484.41
沈阳桃仙国际机场股份有限公司,680.648775132075,6806487.75132075,0.758339,7583.39,6798904.361320751,679.890436132075,89655.21
Exens Solutions,0.47376,4737.6,0.45677952,4567.7952,169.8048000000008,0.01698048000000008,3.72
北京火山引擎科技有限公司,4.424779,44247.79,0.259459,2594.59,41653.2,4.1653199999999995,1605.39
大连国际机场股份有限公司,634.157708301887,6341577.08301887,0.1398,1398.0,6340179.08301887,634.017908301887,453517.82
